iter	Passed	Remaining
0	16	7221
1	31	7134
2	46	6997
3	64	7176
4	81	7245
5	97	7199
6	113	7199
7	128	7122
8	145	7136
9	163	7183
10	182	7295
11	199	7275
12	215	7255
13	231	7213
14	247	7191
15	264	7173
16	281	7157
17	297	7132
18	313	7109
19	328	7063
20	344	7033
21	361	7024
22	380	7072
23	403	7162
24	420	7141
25	436	7118
26	452	7093
27	469	7071
28	486	7060
29	501	7027
30	520	7036
31	537	7015
32	552	6976
33	568	6960
34	586	6949
35	601	6919
36	617	6894
37	633	6870
38	650	6860
39	671	6885
40	695	6938
41	713	6931
42	728	6897
43	745	6875
44	764	6879
45	783	6877
46	799	6851
47	814	6824
48	831	6803
49	850	6805
50	869	6805
51	886	6781
52	902	6756
53	918	6735
54	934	6714
55	957	6734
56	979	6755
57	997	6742
58	1013	6715
59	1028	6683
60	1044	6662
61	1061	6640
62	1076	6614
63	1091	6583
64	1107	6559
65	1122	6532
66	1138	6507
67	1153	6481
68	1169	6458
69	1185	6434
70	1201	6414
71	1215	6383
72	1231	6362
73	1248	6341
74	1262	6314
75	1279	6294
76	1294	6272
77	1310	6249
78	1326	6228
79	1342	6211
80	1358	6186
81	1373	6165
82	1388	6139
83	1403	6115
84	1419	6094
85	1434	6069
86	1449	6048
87	1465	6028
88	1481	6009
89	1497	5988
90	1511	5964
91	1527	5943
92	1543	5924
93	1558	5903
94	1575	5887
95	1595	5883
96	1610	5862
97	1626	5842
98	1641	5820
99	1659	5809
100	1683	5816
101	1699	5798
102	1715	5780
103	1731	5761
104	1747	5740
105	1762	5719
106	1777	5698
107	1792	5675
108	1806	5652
109	1821	5631
110	1836	5607
111	1850	5585
112	1866	5566
113	1881	5545
114	1896	5525
115	1912	5507
116	1928	5489
117	1945	5472
118	1963	5461
119	1980	5445
120	1995	5425
121	2009	5403
122	2024	5382
123	2044	5374
124	2068	5376
125	2087	5366
126	2102	5346
127	2118	5328
128	2132	5307
129	2148	5287
130	2164	5270
131	2179	5251
132	2194	5229
133	2208	5209
134	2224	5190
135	2239	5169
136	2254	5150
137	2270	5133
138	2286	5115
139	2302	5097
140	2318	5080
141	2334	5062
142	2349	5044
143	2365	5025
144	2379	5005
145	2394	4985
146	2410	4969
147	2426	4950
148	2441	4931
149	2457	4914
150	2473	4897
151	2491	4885
152	2509	4870
153	2524	4851
154	2539	4832
155	2557	4819
156	2577	4809
157	2593	4792
158	2608	4774
159	2624	4756
160	2641	4742
161	2661	4730
162	2676	4712
163	2692	4694
164	2707	4676
165	2721	4656
166	2736	4637
167	2751	4619
168	2767	4602
169	2782	4583
170	2798	4565
171	2813	4547
172	2834	4538
173	2850	4521
174	2866	4504
175	2880	4485
176	2895	4466
177	2911	4448
178	2927	4431
179	2942	4413
180	2959	4398
181	2975	4381
182	2990	4363
183	3005	4345
184	3020	4327
185	3036	4309
186	3051	4291
187	3067	4275
188	3083	4257
189	3098	4239
190	3113	4222
191	3128	4203
192	3144	4186
193	3159	4168
194	3179	4157
195	3202	4149
196	3220	4136
197	3238	4121
198	3254	4105
199	3270	4088
200	3286	4070
201	3301	4053
202	3317	4036
203	3331	4017
204	3348	4001
205	3362	3983
206	3378	3965
207	3393	3948
208	3410	3932
209	3426	3915
210	3442	3899
211	3457	3881
212	3472	3863
213	3490	3849
214	3509	3835
215	3527	3821
216	3542	3803
217	3559	3787
218	3575	3771
219	3590	3754
220	3607	3737
221	3623	3721
222	3640	3706
223	3658	3691
