iter	Passed	Remaining
0	12	7569
1	25	7483
2	36	7242
3	48	7295
4	60	7242
5	73	7249
6	90	7707
7	110	8148
8	125	8219
9	137	8088
10	148	7970
11	161	7909
12	173	7815
13	185	7761
14	197	7719
15	209	7644
16	222	7628
17	234	7573
18	246	7524
19	258	7496
20	279	7695
21	297	7824
22	309	7776
23	321	7719
24	337	7768
25	356	7861
26	369	7837
27	380	7770
28	392	7720
29	404	7691
30	416	7645
31	429	7615
32	444	7639
33	466	7757
34	484	7823
35	502	7875
36	521	7940
37	536	7941
38	548	7894
39	560	7840
40	571	7789
41	588	7816
42	607	7864
43	626	7912
44	645	7960
45	664	7998
46	677	7971
47	689	7927
48	701	7888
49	713	7848
50	725	7807
51	736	7758
52	748	7724
53	760	7686
54	771	7649
55	783	7610
56	795	7574
57	807	7541
58	818	7509
59	830	7477
60	842	7446
61	855	7421
62	867	7392
63	878	7358
64	891	7333
65	903	7306
66	915	7281
67	926	7249
68	938	7221
69	949	7189
70	961	7163
71	972	7133
72	985	7111
73	996	7084
74	1008	7056
75	1020	7037
76	1032	7013
77	1044	6988
78	1056	6964
79	1068	6942
80	1080	6922
81	1091	6895
82	1102	6868
83	1114	6845
84	1126	6823
85	1137	6798
86	1148	6774
87	1160	6754
88	1172	6733
89	1184	6713
90	1196	6694
91	1208	6672
92	1219	6650
93	1232	6631
94	1243	6612
95	1255	6590
96	1267	6571
97	1279	6552
98	1294	6549
99	1309	6546
100	1324	6544
101	1339	6539
102	1355	6539
103	1370	6534
104	1383	6522
105	1396	6506
106	1407	6484
107	1418	6462
108	1429	6440
109	1441	6419
110	1452	6399
111	1463	6378
112	1475	6360
113	1488	6343
114	1500	6326
115	1511	6307
116	1523	6290
117	1537	6281
118	1553	6277
119	1566	6265
120	1578	6248
121	1590	6231
122	1601	6212
123	1613	6194
124	1625	6176
125	1637	6159
126	1648	6139
127	1660	6123
128	1671	6104
129	1683	6085
130	1695	6068
131	1706	6050
132	1718	6034
133	1730	6019
134	1742	6000
135	1753	5981
136	1765	5965
137	1777	5949
138	1789	5933
139	1800	5915
140	1812	5898
141	1823	5880
142	1837	5872
143	1853	5869
144	1866	5856
145	1878	5840
146	1890	5824
147	1901	5806
148	1915	5797
149	1929	5789
150	1945	5784
151	1958	5772
152	1970	5756
153	1982	5740
154	1993	5724
155	2004	5705
156	2017	5691
157	2028	5675
158	2040	5658
159	2051	5642
160	2063	5626
161	2074	5609
162	2086	5593
163	2097	5575
164	2109	5560
165	2120	5543
166	2132	5528
167	2143	5511
168	2154	5494
169	2165	5478
170	2177	5462
171	2188	5447
172	2200	5431
173	2215	5422
174	2227	5409
175	2238	5393
176	2250	5377
177	2261	5360
178	2273	5347
179	2285	5333
180	2297	5318
181	2309	5303
182	2320	5286
183	2331	5271
184	2343	5257
185	2355	5242
186	2366	5226
187	2377	5210
188	2388	5194
189	2399	5178
190	2411	5163
191	2422	5148
192	2433	5132
193	2445	5117
194	2457	5104
195	2469	5090
196	2481	5075
197	2492	5060
198	2503	5045
199	2515	5030
200	2528	5018
201	2539	5004
202	2551	4990
203	2563	4975
204	2574	4961
205	2585	4945
206	2596	4930
207	2608	4915
208	2620	4902
209	2632	4888
210	2642	4872
211	2658	4864
