,feature,importance_gain,importance_split
0,NAME_CONTRACT_TYPE,328.1500015258789,6
1,CODE_GENDER,8392.977182388306,123
2,FLAG_OWN_CAR,34.652198791503906,1
3,FLAG_OWN_REALTY,94.04249954223633,2
4,CNT_CHILDREN,170.25179862976074,4
5,AMT_INCOME_TOTAL,1457.9803104400635,31
6,AMT_CREDIT,3964.5054893493652,83
7,AMT_ANNUITY,5147.342924118042,105
8,AMT_GOODS_PRICE,3178.636787414551,51
9,NAME_TYPE_SUITE,0.0,0
10,NAME_INCOME_TYPE,1111.0831985473633,7
11,NAME_EDUCATION_TYPE,3567.480100631714,34
12,NAME_FAMILY_STATUS,40.30870056152344,1
13,NAME_HOUSING_TYPE,0.0,0
14,REGION_POPULATION_RELATIVE,2128.725492477417,51
15,DAYS_BIRTH,25169.53988456726,313
16,DAYS_EMPLOYED,7159.670108795166,130
17,DAYS_REGISTRATION,2734.899305343628,60
18,DAYS_ID_PUBLISH,2945.4742183685303,70
19,OWN_CAR_AGE,1150.8856964111328,27
20,FLAG_MOBIL,0.0,0
21,FLAG_EMP_PHONE,557.2027950286865,6
22,FLAG_WORK_PHONE,334.8165054321289,6
23,FLAG_CONT_MOBILE,0.0,0
24,FLAG_PHONE,107.74020004272461,3
25,FLAG_EMAIL,0.0,0
26,OCCUPATION_TYPE,42831.90783882141,293
27,CNT_FAM_MEMBERS,210.17419815063477,5
28,REGION_RATING_CLIENT,2850.9717178344727,39
29,REGION_RATING_CLIENT_W_CITY,7692.755975723267,82
30,WEEKDAY_APPR_PROCESS_START,0.0,0
31,HOUR_APPR_PROCESS_START,797.2022008895874,22
32,REG_REGION_NOT_LIVE_REGION,0.0,0
33,REG_REGION_NOT_WORK_REGION,0.0,0
34,LIVE_REGION_NOT_WORK_REGION,0.0,0
35,REG_CITY_NOT_LIVE_CITY,695.8990058898926,13
36,REG_CITY_NOT_WORK_CITY,214.1431007385254,6
37,LIVE_CITY_NOT_WORK_CITY,115.47250175476074,3
38,ORGANIZATION_TYPE,36970.95771789551,405
