,feature,importance_gain,importance_split
0,NAME_CONTRACT_TYPE,282.74609565734863,6
1,CODE_GENDER,4887.96718788147,89
2,FLAG_OWN_CAR,149.62979888916016,4
3,AMT_INCOME_TOTAL,938.896203994751,23
4,AMT_CREDIT,5376.895795822144,102
5,AMT_ANNUITY,9269.357278823853,191
6,AMT_GOODS_PRICE,3762.6973915100098,71
7,NAME_TYPE_SUITE,0.0,0
8,NAME_INCOME_TYPE,504.5449028015137,5
9,NAME_EDUCATION_TYPE,209.99090576171875,5
10,NAME_FAMILY_STATUS,38.965599060058594,1
11,NAME_HOUSING_TYPE,0.0,0
12,REGION_POPULATION_RELATIVE,1282.4553089141846,32
13,DAYS_BIRTH,18433.06187057495,277
14,DAYS_EMPLOYED,6346.72271156311,109
15,DAYS_REGISTRATION,3059.8603076934814,69
16,DAYS_ID_PUBLISH,3193.543716430664,75
17,OWN_CAR_AGE,1078.033800125122,26
18,FLAG_WORK_PHONE,558.5874004364014,13
19,OCCUPATION_TYPE,12223.037818908691,161
20,REGION_RATING_CLIENT,691.505500793457,10
21,REGION_RATING_CLIENT_W_CITY,687.8737983703613,14
22,WEEKDAY_APPR_PROCESS_START,0.0,0
23,LIVE_REGION_NOT_WORK_REGION,0.0,0
24,REG_CITY_NOT_LIVE_CITY,969.735710144043,18
25,LIVE_CITY_NOT_WORK_CITY,88.13639831542969,2
26,ORGANIZATION_TYPE,47732.376165390015,537
27,EXT_SOURCE_1,25235.858171463013,378
28,EXT_SOURCE_2,120325.08124351501,529
29,EXT_SOURCE_3,198923.14876174927,623
30,APARTMENTS_AVG,1008.4038963317871,23
31,ENTRANCES_AVG,546.3875026702881,14
32,FLOORSMAX_AVG,651.0384902954102,15
33,LIVINGAREA_AVG,1697.9854011535645,38
34,APARTMENTS_MODE,726.3834037780762,17
35,FLOORSMAX_MODE,185.24820137023926,5
36,APARTMENTS_MEDI,419.57870864868164,9
37,YEARS_BEGINEXPLUATATION_MEDI,2069.677200317383,46
38,ENTRANCES_MEDI,143.0226993560791,4
39,FLOORSMAX_MEDI,82.13100051879883,2
40,TOTALAREA_MODE,2480.9926052093506,53
41,WALLSMATERIAL_MODE,0.0,0
42,DEF_30_CNT_SOCIAL_CIRCLE,364.8040008544922,8
43,DEF_60_CNT_SOCIAL_CIRCLE,445.26989364624023,9
44,DAYS_LAST_PHONE_CHANGE,1165.5241012573242,30
45,FLAG_DOCUMENT_3,1858.879997253418,35
46,FLAG_DOCUMENT_8,0.0,0
47,FLAG_DOCUMENT_18,0.0,0
48,AMT_REQ_CREDIT_BUREAU_HOUR,69.01249885559082,2
49,AMT_REQ_CREDIT_BUREAU_WEEK,0.0,0
50,AMT_REQ_CREDIT_BUREAU_QRT,125.44239807128906,3
51,debt_credit_ratio_None,885.0304012298584,21
52,credit_annuity_ratio,21263.66192626953,316
53,prev_PRODUCT_COMBINATION,0.0,0
54,DAYS_CREDIT_mean,1659.708194732666,40
55,credit_goods_price_ratio,84766.98926925659,783
56,last_active_DAYS_CREDIT,1321.0980110168457,33
57,credit_downpayment,27403.172876358032,406
58,AGE_INT,5088.972515106201,66
59,installment_payment_ratio_1000_mean_mean,1480.0163974761963,34
60,annuity_to_max_installment_ratio,1576.995994567871,40
61,EXT_SOURCES_MEAN,1466534.9016590118,1182
62,EXT_SOURCES_MAX,266850.70831489563,459
63,COUNT(bureau),646.677698135376,15
64,MAX(bureau.AMT_ANNUITY),271.3829936981201,7
65,MAX(bureau.AMT_CREDIT_MAX_OVERDUE),1560.097999572754,36
66,MAX(bureau.AMT_CREDIT_SUM),5447.865629196167,104
67,MAX(bureau.AMT_CREDIT_SUM_DEBT),2199.9104042053223,46
68,MAX(bureau.AMT_CREDIT_SUM_LIMIT),745.390193939209,16
69,MAX(bureau.AMT_CREDIT_SUM_OVERDUE),2230.5798988342285,43
70,MAX(bureau.CNT_CREDIT_PROLONG),0.0,0
71,MAX(bureau.CREDIT_DAY_OVERDUE),120.91420364379883,2
72,MAX(bureau.DAYS_CREDIT),14829.793756484985,278
73,MAX(bureau.DAYS_CREDIT_ENDDATE),4027.0989990234375,90
74,MAX(bureau.DAYS_CREDIT_UPDATE),1840.0605850219727,41
75,MAX(bureau.DAYS_ENDDATE_FACT),2507.3932971954346,56
76,MEAN(bureau.AMT_ANNUITY),223.4888973236084,5
77,MEAN(bureau.AMT_CREDIT_MAX_OVERDUE),2701.0622997283936,63
78,MEAN(bureau.AMT_CREDIT_SUM),4656.4128074646,102
79,MEAN(bureau.AMT_CREDIT_SUM_DEBT),10007.517560958862,149
80,MEAN(bureau.AMT_CREDIT_SUM_LIMIT),937.1781978607178,19
81,MEAN(bureau.AMT_CREDIT_SUM_OVERDUE),2315.093391418457,41
82,MEAN(bureau.CNT_CREDIT_PROLONG),164.94889640808105,5
83,MEAN(bureau.CREDIT_DAY_OVERDUE),217.11339950561523,4
84,MEAN(bureau.DAYS_CREDIT),8803.396406173706,124
85,MEAN(bureau.DAYS_CREDIT_ENDDATE),6696.989789962769,120
86,MEAN(bureau.DAYS_CREDIT_UPDATE),3588.4857215881348,67
87,MEAN(bureau.DAYS_ENDDATE_FACT),1564.1624965667725,36
88,MIN(bureau.AMT_ANNUITY),267.1737976074219,6
89,MIN(bureau.AMT_CREDIT_MAX_OVERDUE),759.2385025024414,18
90,MIN(bureau.AMT_CREDIT_SUM),1549.8442058563232,37
91,MIN(bureau.AMT_CREDIT_SUM_DEBT),1131.8543033599854,27
92,MIN(bureau.AMT_CREDIT_SUM_LIMIT),55.22610092163086,1
93,MIN(bureau.AMT_CREDIT_SUM_OVERDUE),0.0,0
94,MIN(bureau.CNT_CREDIT_PROLONG),0.0,0
95,MIN(bureau.CREDIT_DAY_OVERDUE),0.0,0
96,MIN(bureau.DAYS_CREDIT),2188.3306102752686,43
97,MIN(bureau.DAYS_CREDIT_ENDDATE),2201.953393936157,48
98,MIN(bureau.DAYS_CREDIT_UPDATE),1686.0241947174072,35
99,MIN(bureau.DAYS_ENDDATE_FACT),1750.2479000091553,40
100,STD(bureau.AMT_ANNUITY),136.56649780273438,3
101,STD(bureau.AMT_CREDIT_MAX_OVERDUE),1025.6948051452637,25
102,STD(bureau.AMT_CREDIT_SUM),1953.1668910980225,47
103,STD(bureau.AMT_CREDIT_SUM_DEBT),3822.013307571411,79
104,STD(bureau.AMT_CREDIT_SUM_LIMIT),1414.4600982666016,31
105,STD(bureau.AMT_CREDIT_SUM_OVERDUE),1910.2191925048828,37
106,STD(bureau.CNT_CREDIT_PROLONG),63.31559753417969,2
107,STD(bureau.CREDIT_DAY_OVERDUE),0.0,0
108,STD(bureau.DAYS_CREDIT),3109.9520015716553,61
109,STD(bureau.DAYS_CREDIT_ENDDATE),3528.0665016174316,78
110,STD(bureau.DAYS_CREDIT_UPDATE),3217.1820106506348,65
111,STD(bureau.DAYS_ENDDATE_FACT),2065.7612838745117,47
112,SUM(bureau.AMT_ANNUITY),353.9666976928711,9
113,SUM(bureau.AMT_CREDIT_MAX_OVERDUE),1095.6453037261963,25
114,SUM(bureau.AMT_CREDIT_SUM),5370.016582489014,100
115,SUM(bureau.AMT_CREDIT_SUM_DEBT),2829.017192840576,55
116,SUM(bureau.AMT_CREDIT_SUM_LIMIT),136.56739807128906,3
117,SUM(bureau.AMT_CREDIT_SUM_OVERDUE),880.8085975646973,17
118,SUM(bureau.CNT_CREDIT_PROLONG),0.0,0
119,SUM(bureau.CREDIT_DAY_OVERDUE),59.36629867553711,1
120,SUM(bureau.DAYS_CREDIT),1568.0496940612793,35
121,SUM(bureau.DAYS_CREDIT_ENDDATE),4152.930000305176,78
122,SUM(bureau.DAYS_CREDIT_UPDATE),913.671199798584,20
123,SUM(bureau.DAYS_ENDDATE_FACT),690.4657974243164,16
124,COUNT(bureau_balance),254.0636978149414,5
125,MAX(bureau_balance.MONTHS_BALANCE),0.0,0
126,MEAN(bureau_balance.MONTHS_BALANCE),320.1021041870117,7
127,MIN(bureau_balance.MONTHS_BALANCE),308.58790016174316,6
128,STD(bureau_balance.MONTHS_BALANCE),216.34980392456055,5
129,SUM(bureau_balance.MONTHS_BALANCE),108.04820251464844,3
130,COUNT(previous),551.4652976989746,11
131,MAX(previous.AMT_ANNUITY),843.7451038360596,20
132,MAX(previous.AMT_APPLICATION),442.3867073059082,11
133,MAX(previous.AMT_CREDIT),616.1528053283691,15
134,MAX(previous.AMT_DOWN_PAYMENT),2704.568696975708,54
135,MAX(previous.AMT_GOODS_PRICE),381.2884979248047,9
136,MAX(previous.CNT_PAYMENT),1335.1154022216797,23
137,MAX(previous.DAYS_DECISION),1586.3741054534912,35
