iter	Passed	Remaining
0	84	84361
1	90	45346
2	98	32685
3	104	26090
4	111	22169
5	117	19544
6	124	17665
7	130	16184
8	136	15016
9	141	14043
10	147	13298
11	153	12662
12	159	12116
13	165	11666
14	171	11267
15	177	10908
16	183	10584
17	188	10296
18	194	10055
19	200	9815
20	205	9598
21	211	9411
22	217	9243
23	223	9085
24	230	8977
25	243	9130
26	257	9268
27	264	9180
28	270	9046
29	276	8925
30	281	8810
31	287	8699
32	293	8610
33	299	8508
34	305	8415
35	315	8438
36	324	8452
37	334	8463
38	340	8397
39	346	8321
40	352	8253
41	358	8179
42	364	8110
43	370	8057
44	377	8001
45	382	7939
46	388	7884
47	394	7830
48	400	7777
49	406	7725
50	412	7681
51	421	7680
52	431	7709
53	440	7725
54	450	7745
55	460	7757
56	466	7723
57	472	7679
58	479	7642
59	484	7594
60	490	7551
61	496	7514
62	502	7476
63	509	7447
64	515	7409
65	520	7372
66	527	7341
67	532	7304
68	538	7270
69	545	7242
70	551	7210
71	556	7177
72	562	7147
73	568	7114
74	574	7082
75	580	7052
76	586	7026
77	592	7000
78	597	6970
79	603	6945
80	609	6919
81	615	6893
82	621	6868
83	627	6843
84	634	6831
85	642	6826
86	649	6812
87	654	6787
88	660	6764
89	666	6743
90	672	6717
91	678	6697
92	684	6674
93	690	6652
94	696	6635
95	702	6613
96	708	6593
97	713	6570
98	719	6549
99	725	6531
100	732	6516
101	737	6495
102	743	6477
103	749	6457
104	755	6438
105	761	6422
106	767	6402
107	773	6384
108	782	6392
109	791	6400
110	796	6382
111	802	6363
112	808	6348
113	814	6330
114	820	6313
115	826	6297
116	832	6279
117	837	6262
118	843	6247
119	849	6230
120	855	6214
121	861	6199
122	867	6185
123	873	6170
124	879	6153
125	884	6137
126	890	6124
127	896	6108
128	902	6094
129	908	6082
130	915	6070
131	920	6055
132	926	6042
133	932	6027
134	938	6013
135	944	6000
136	953	6008
137	963	6018
138	973	6029
139	979	6016
140	985	6002
141	993	6000
142	1002	6010
143	1012	6018
144	1022	6027
145	1031	6035
146	1039	6032
147	1045	6018
148	1051	6002
149	1059	6004
150	1069	6011
151	1079	6020
152	1089	6029
153	1098	6035
154	1106	6031
155	1112	6016
156	1118	6003
157	1124	5989
158	1129	5976
159	1135	5962
160	1145	5968
161	1154	5969
162	1160	5958
163	1167	5949
164	1173	5938
165	1179	5924
166	1185	5911
167	1191	5899
168	1197	5886
169	1202	5873
170	1209	5862
171	1215	5849
172	1220	5836
173	1227	5826
174	1233	5815
175	1240	5807
176	1247	5799
177	1253	5786
178	1260	5779
179	1266	5770
180	1273	5760
181	1279	5749
182	1284	5736
183	1291	5726
184	1297	5714
185	1302	5702
186	1308	5690
187	1314	5677
188	1323	5677
189	1332	5681
190	1338	5670
191	1344	5657
192	1350	5648
193	1356	5637
194	1362	5624
195	1368	5614
196	1374	5602
197	1380	5591
198	1386	5579
199	1392	5568
200	1398	5557
201	1404	5546
202	1409	5535
203	1415	5524
204	1421	5513
205	1427	5502
206	1433	5490
207	1438	5479
208	1444	5467
209	1450	5456
210	1456	5444
211	1461	5433
212	1467	5422
213	1473	5413
214	1479	5402
215	1485	5391
216	1491	5381
217	1497	5370
218	1503	5360
219	1509	5350
220	1514	5339
221	1521	5330
222	1527	5321
223	1533	5310
224	1539	5301
225	1544	5290
226	1550	5280
227	1556	5271
228	1562	5260
229	1568	5250
230	1573	5239
231	1579	5228
232	1585	5218
233	1591	5208
234	1597	5198
235	1603	5190
236	1609	5181
237	1618	5182
238	1627	5182
239	1633	5172
240	1639	5162
241	1644	5151
242	1650	5141
243	1656	5131
244	1662	5122
245	1667	5112
246	1673	5103
247	1679	5092
248	1685	5083
249	1691	5073
250	1696	5063
251	1702	5053
252	1708	5043
253	1714	5034
254	1720	5025
255	1725	5016
256	1731	5006
257	1737	4997
258	1743	4988
259	1749	4978
260	1754	4968
261	1760	4959
262	1766	4949
263	1772	4940
264	1777	4931
265	1784	4922
266	1789	4913
267	1795	4904
268	1801	4896
269	1807	4886
270	1812	4876
271	1824	4884
272	1833	4881
273	1838	4872
274	1844	4862
275	1850	4853
276	1855	4844
277	1861	4835
278	1867	4826
279	1873	4816
280	1879	4808
281	1885	4799
282	1890	4790
283	1900	4790
284	1909	4789
285	1914	4780
286	1920	4771
287	1926	4762
288	1931	4752
289	1937	4743
290	1943	4734
291	1948	4724
292	1954	4716
293	1960	4707
294	1965	4697
295	1975	4698
296	1989	4708
297	2003	4719
298	2017	4729
299	2024	4723
300	2030	4714
301	2036	4705
302	2041	4696
303	2047	4687
304	2058	4691
305	2067	4688
306	2072	4679
307	2078	4670
308	2084	4661
309	2090	4652
310	2095	4643
311	2101	4634
312	2107	4625
313	2113	4616
314	2118	4607
315	2124	4598
316	2130	4590
317	2136	4581
318	2141	4572
319	2151	4571
320	2159	4568
321	2165	4559
322	2171	4551
323	2177	4542
324	2183	4534
325	2189	4525
326	2194	4517
327	2200	4509
328	2206	4500
329	2212	4491
330	2218	4483
331	2224	4475
332	2230	4467
333	2236	4458
334	2241	4450
335	2247	4441
336	2253	4433
337	2259	4425
338	2265	4416
339	2271	4408
340	2276	4400
341	2282	4391
342	2288	4383
343	2294	4375
344	2300	4367
345	2306	4358
346	2311	4350
347	2317	4342
348	2323	4334
349	2329	4326
350	2335	4318
351	2341	4309
352	2347	4302
353	2353	4295
354	2359	4287
355	2364	4277
356	2370	4269
357	2376	4260
358	2382	4253
359	2388	4245
360	2394	4237
361	2399	4229
362	2405	4221
363	2411	4213
364	2417	4205
365	2423	4197
366	2428	4189
367	2434	4181
368	2440	4173
369	2446	4165
370	2452	4158
371	2458	4149
372	2464	4142
373	2469	4134
374	2475	4126
375	2481	4118
376	2489	4113
377	2502	4118
378	2509	4111
379	2515	4103
380	2520	4095
381	2526	4087
382	2532	4079
383	2539	4073
384	2545	4066
385	2552	4060
386	2558	4052
387	2564	4044
388	2569	4036
389	2575	4028
390	2581	4021
391	2587	4013
392	2593	4005
393	2599	3997
394	2605	3990
395	2610	3982
396	2617	3975
397	2624	3969
398	2630	3961
399	2635	3953
400	2641	3945
401	2653	3946
402	2661	3943
403	2667	3935
404	2673	3927
405	2679	3920
406	2685	3912
407	2691	3904
408	2696	3896
409	2702	3888
410	2708	3881
411	2714	3873
412	2719	3865
413	2725	3858
414	2731	3850
415	2737	3843
416	2743	3835
417	2749	3827
418	2754	3819
419	2760	3811
420	2766	3804
421	2772	3797
422	2778	3789
423	2784	3782
424	2790	3774
425	2796	3767
426	2801	3759
427	2807	3752
428	2813	3744
429	2819	3737
430	2824	3729
431	2831	3722
432	2836	3714
433	2842	3706
434	2847	3698
435	2853	3690
436	2858	3682
437	2867	3679
438	2876	3676
439	2882	3668
440	2888	3661
441	2894	3653
442	2899	3646
443	2905	3638
444	2911	3631
445	2916	3623
446	2922	3615
447	2928	3608
448	2934	3600
449	2940	3593
450	2946	3586
451	2951	3578
452	2957	3571
453	2963	3563
454	2968	3556
455	2974	3548
456	2981	3542
457	2987	3535
458	2993	3527
459	2999	3520
460	3004	3513
461	3010	3505
462	3016	3498
463	3021	3490
464	3027	3483
465	3033	3476
466	3039	3469
467	3045	3462
468	3051	3454
469	3057	3447
470	3062	3440
471	3068	3432
472	3074	3425
473	3080	3418
474	3086	3411
475	3091	3403
476	3098	3396
477	3103	3389
478	3109	3382
479	3115	3375
480	3121	3367
481	3127	3360
482	3132	3353
483	3138	3346
484	3144	3338
485	3149	3331
486	3155	3323
487	3161	3316
488	3166	3309
489	3172	3302
490	3178	3295
491	3184	3287
492	3190	3280
493	3195	3273
494	3201	3266
495	3207	3258
496	3213	3252
497	3218	3244
498	3224	3237
499	3230	3230
500	3236	3223
501	3241	3215
502	3247	3208
503	3253	3202
504	3260	3195
505	3265	3188
506	3271	3181
507	3277	3174
508	3283	3167
509	3289	3160
510	3295	3153
511	3301	3146
512	3306	3139
513	3312	3132
514	3318	3125
515	3324	3118
516	3330	3111
517	3335	3104
518	3342	3097
519	3348	3090
520	3353	3083
521	3359	3076
522	3365	3069
523	3371	3062
524	3377	3055
525	3383	3048
526	3388	3041
527	3394	3034
528	3400	3027
529	3405	3020
530	3412	3013
531	3417	3006
532	3423	2999
533	3429	2992
534	3435	2985
535	3441	2978
536	3446	2971
537	3452	2964
538	3458	2957
539	3463	2950
540	3469	2943
541	3475	2936
542	3481	2929
543	3487	2922
544	3492	2916
545	3498	2909
546	3507	2904
547	3517	2901
548	3522	2893
549	3528	2886
550	3534	2879
551	3540	2873
552	3546	2866
553	3551	2859
554	3558	2853
555	3565	2847
556	3572	2841
557	3579	2835
558	3585	2828
559	3591	2821
560	3601	2818
561	3616	2818
562	3631	2818
563	3644	2817
564	3650	2810
565	3656	2803
566	3665	2799
567	3674	2794
568	3680	2787
569	3686	2780
570	3692	2773
571	3697	2766
572	3703	2759
573	3709	2752
574	3715	2745
575	3720	2739
576	3726	2732
577	3732	2725
578	3738	2718
579	3744	2711
580	3749	2704
581	3755	2697
582	3761	2690
583	3767	2683
584	3773	2677
585	3779	2670
586	3791	2667
587	3804	2665
588	3816	2662
589	3825	2658
590	3835	2654
591	3844	2649
592	3850	2642
593	3856	2635
594	3863	2629
595	3868	2622
596	3874	2615
597	3880	2608
598	3886	2601
599	3892	2594
600	3897	2587
601	3903	2580
602	3914	2577
603	3928	2575
604	3942	2573
605	3954	2571
606	3960	2564
607	3966	2557
608	3972	2550
609	3977	2543
610	3983	2536
611	3989	2529
612	3994	2522
613	4000	2515
614	4007	2508
615	4012	2501
616	4018	2494
617	4024	2487
618	4029	2480
619	4036	2473
620	4042	2466
621	4047	2459
622	4056	2455
623	4065	2449
624	4071	2442
625	4077	2435
626	4082	2428
627	4088	2422
628	4094	2415
629	4100	2408
630	4107	2401
631	4113	2395
632	4119	2388
633	4125	2381
634	4134	2376
635	4143	2371
636	4148	2364
637	4154	2357
638	4163	2351
639	4172	2347
640	4178	2340
641	4184	2333
642	4190	2326
643	4195	2319
644	4201	2312
645	4207	2305
646	4212	2298
647	4218	2291
648	4224	2284
649	4230	2277
650	4235	2270
651	4241	2263
652	4247	2256
653	4253	2250
654	4258	2243
655	4264	2236
656	4270	2229
657	4276	2222
658	4282	2215
659	4288	2209
660	4294	2202
661	4300	2195
662	4306	2188
663	4311	2181
664	4317	2175
665	4323	2168
666	4329	2161
667	4423	2198
668	4433	2193
669	4440	2186
670	4446	2179
671	4452	2173
672	4458	2166
673	4464	2159
674	4470	2152
675	4477	2145
676	4483	2139
677	4491	2132
678	4500	2127
679	4507	2121
680	4512	2113
681	4519	2107
682	4524	2100
683	4530	2092
684	4536	2086
685	4542	2079
686	4547	2071
687	4553	2064
688	4559	2057
689	4564	2050
690	4570	2043
691	4576	2036
692	4581	2029
693	4587	2022
694	4593	2015
695	4599	2008
696	4605	2001
697	4612	1995
698	4617	1988
699	4623	1981
700	4629	1974
701	4634	1967
702	4640	1960
703	4646	1953
704	4652	1946
705	4658	1939
706	4664	1933
707	4670	1926
708	4676	1919
709	4682	1912
710	4688	1905
711	4694	1898
712	4699	1891
713	4705	1884
714	4711	1877
715	4717	1871
716	4723	1864
717	4728	1857
718	4734	1850
719	4740	1843
720	4746	1836
721	4752	1829
722	4757	1822
723	4763	1815
724	4769	1809
725	4775	1802
726	4781	1795
727	4790	1789
728	4796	1782
729	4802	1776
730	4807	1769
731	4813	1762
732	4819	1755
733	4825	1748
734	4831	1742
735	4837	1735
736	4847	1729
737	4854	1723
738	4860	1716
739	4870	1711
740	4877	1704
741	4883	1698
742	4889	1691
743	4895	1684
744	4900	1677
745	4906	1670
746	4912	1663
747	4918	1657
748	4924	1650
749	4930	1643
750	4935	1636
751	4941	1629
752	4947	1622
753	4953	1616
754	4959	1609
755	4965	1602
756	4971	1595
757	4976	1588
758	4982	1582
759	4988	1575
760	4994	1568
761	5000	1561
762	5006	1554
763	5011	1548
764	5017	1541
765	5023	1534
766	5028	1527
767	5040	1522
768	5049	1516
769	5055	1509
770	5060	1503
771	5067	1496
772	5073	1489
773	5078	1482
774	5084	1476
775	5090	1469
776	5096	1462
777	5102	1455
778	5107	1449
779	5113	1442
780	5119	1435
781	5125	1428
782	5131	1422
783	5136	1415
784	5144	1408
785	5157	1404
786	5171	1399
787	5177	1392
788	5183	1386
789	5189	1379
790	5195	1372
791	5201	1366
792	5213	1360
793	5227	1356
794	5241	1351
795	5254	1346
796	5260	1339
797	5266	1333
798	5272	1326
799	5278	1319
800	5284	1312
801	5290	1306
802	5296	1299
803	5302	1292
804	5308	1285
805	5314	1279
806	5320	1272
807	5326	1265
808	5331	1258
809	5337	1251
810	5343	1245
811	5349	1238
812	5355	1231
813	5361	1225
814	5367	1218
815	5372	1211
816	5380	1205
817	5390	1199
818	5399	1193
819	5408	1187
820	5414	1180
821	5420	1173
822	5425	1166
823	5431	1160
824	5437	1153
825	5443	1146
826	5449	1139
827	5455	1133
828	5461	1126
829	5466	1119
830	5472	1112
831	5478	1106
832	5483	1099
833	5489	1092
834	5495	1085
835	5501	1079
836	5507	1072
837	5513	1065
838	5519	1059
839	5524	1052
840	5530	1045
841	5536	1039
842	5542	1032
843	5550	1025
844	5563	1020
845	5572	1014
846	5584	1008
847	5590	1002
848	5598	995
849	5609	989
850	5619	983
851	5630	978
852	5639	971
853	5649	965
854	5658	959
855	5664	952
856	5670	946
857	5675	939
858	5681	932
859	5687	925
860	5692	919
861	5698	912
862	5704	905
863	5710	898
864	5715	892
865	5721	885
866	5727	878
867	5733	871
868	5739	865
869	5745	858
870	5750	851
871	5756	845
872	5762	838
873	5768	831
874	5774	824
875	5780	818
876	5786	811
877	5791	804
878	5797	798
879	5803	791
880	5809	784
881	5816	778
882	5821	771
883	5827	764
884	5833	758
885	5839	751
886	5845	744
887	5851	738
888	5857	731
889	5863	724
890	5869	717
891	5874	711
892	5880	704
893	5886	697
894	5892	691
895	5898	684
896	5903	677
897	5909	671
898	5915	664
899	5921	657
900	5930	651
901	5939	645
902	5945	638
903	5951	631
904	5958	625
905	5965	618
906	5971	612
907	5977	605
908	5983	598
909	5988	592
910	5994	585
911	6000	579
912	6006	572
913	6012	565
914	6017	559
915	6023	552
916	6029	545
917	6035	539
918	6041	532
919	6047	525
920	6053	519
921	6058	512
922	6064	505
923	6070	499
924	6076	492
925	6082	486
926	6088	479
927	6094	472
928	6099	466
929	6105	459
930	6111	452
931	6117	446
932	6123	439
933	6129	433
934	6134	426
935	6140	419
936	6150	413
937	6157	407
938	6163	400
939	6169	393
940	6176	387
941	6183	380
942	6190	374
943	6198	367
944	6204	361
945	6211	354
946	6217	347
947	6227	341
948	6237	335
949	6245	328
950	6253	322
951	6263	315
952	6273	309
953	6284	303
954	6293	296
955	6305	290
956	6317	283
957	6327	277
958	6337	270
959	6351	264
960	6361	258
961	6371	251
962	6381	245
963	6390	238
964	6396	232
965	6402	225
966	6408	218
967	6414	212
968	6419	205
969	6428	198
970	6437	192
971	6443	185
972	6449	178
973	6455	172
974	6461	165
975	6466	159
976	6472	152
977	6478	145
978	6483	139
979	6489	132
980	6495	125
981	6501	119
982	6507	112
983	6513	105
984	6519	99
985	6525	92
986	6531	86
987	6537	79
988	6542	72
989	6548	66
990	6554	59
991	6560	52
992	6565	46
993	6571	39
994	6577	33
995	6583	26
996	6588	19
997	6594	13
998	6602	6
999	6608	0
