,feature,importance_gain,importance_split,auc_score
3562,EXT_SOURCES_MEAN,10564.667571883649,1108,0.929300216341725
282,EXT_SOURCE_2,935.3835327625275,490,0.929300216341725
281,EXT_SOURCE_1,793.8988497853279,387,0.929300216341725
283,EXT_SOURCE_3,790.6111658513546,423,0.929300216341725
441,PAYMENT_RATE,776.9982630312443,284,0.929300216341725
16,ACTIVE_DAYS_CREDIT_MAX,419.69879281520844,185,0.929300216341725
269,DAYS_BIRTH,416.5244813859463,216,0.929300216341725
55,APPROVED_CNT_PAYMENT_MEAN,413.29902347922325,224,0.929300216341725
542,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,405.7808030843735,140,0.929300216341725
268,CODE_GENDER,381.77124920487404,117,0.929300216341725
25,AMT_ANNUITY,380.28559869527817,170,0.929300216341725
270,DAYS_EMPLOYED,345.83394080400467,141,0.929300216341725
32,ANNUITY_INCOME_PERC,316.76632112264633,150,0.929300216341725
307,INSTAL_AMT_PAYMENT_SUM,308.49943432211876,126,0.929300216341725
2360,DIFF(EXT_SOURCE_2),297.1848240122199,213,0.929300216341725
272,DAYS_ID_PUBLISH,273.75959023833275,177,0.929300216341725
27,AMT_GOODS_PRICE,269.8616563677788,80,0.929300216341725
488,PREV_CNT_PAYMENT_MEAN,263.9619759321213,121,0.929300216341725
110,BURO_DAYS_CREDIT_MAX,251.53603079915047,110,0.929300216341725
26,AMT_CREDIT,238.0124541670084,95,0.929300216341725
45,APPROVED_AMT_DOWN_PAYMENT_MAX,230.3645532131195,88,0.929300216341725
2361,DIFF(EXT_SOURCE_3),225.83365896344185,166,0.929300216341725
2535,DIFF(POS_SK_DPD_DEF_MEAN),216.29701948165894,96,0.929300216341725
2110,DIFF(ANNUITY_INCOME_PERC),205.84834951162338,116,0.929300216341725
336,NAME_EDUCATION_TYPE_Secondary / secondary special,196.22323966026306,49,0.929300216341725
2179,DIFF(BURO_CREDIT_TYPE_Microloan_MEAN),187.6761519908905,77,0.929300216341725
324,INSTAL_PAYMENT_PERC_MEAN,184.7483486533165,87,0.929300216341725
666,REFUSED_DAYS_DECISION_MAX,184.44508835673332,80,0.929300216341725
540,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,182.94701874256134,53,0.929300216341725
305,INSTAL_AMT_PAYMENT_MEAN,180.85121500492096,94,0.929300216341725
271,DAYS_EMPLOYED_PERC,180.39980882406235,104,0.929300216341725
2154,DIFF(BURO_AMT_CREDIT_SUM_OVERDUE_MEAN),170.22081103920937,69,0.929300216341725
111,BURO_DAYS_CREDIT_MEAN,166.7821522951126,86,0.929300216341725
2252,DIFF(CC_CNT_DRAWINGS_CURRENT_MEAN),162.36403334140778,48,0.929300216341725
457,POS_SK_DPD_DEF_MEAN,161.6004701256752,74,0.929300216341725
79,BURO_CREDIT_ACTIVE_Active_MEAN,157.8409599363804,54,0.929300216341725
310,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,156.2201820909977,88,0.929300216341725
174,CC_CNT_DRAWINGS_CURRENT_MEAN,155.53125242888927,61,0.929300216341725
316,INSTAL_DPD_MEAN,152.90910023450851,64,0.929300216341725
442,POS_COUNT,148.30962872505188,71,0.929300216341725
259,CLOSED_DAYS_CREDIT_MAX,147.8309451341629,106,0.929300216341725
285,FLAG_DOCUMENT_3,145.31938350200653,45,0.929300216341725
36,APPROVED_AMT_ANNUITY_MAX,143.52485224604607,70,0.929300216341725
17,ACTIVE_DAYS_CREDIT_MEAN,135.88453450798988,76,0.929300216341725
2250,DIFF(CC_CNT_DRAWINGS_ATM_CURRENT_SUM),133.75298777222633,62,0.929300216341725
338,NAME_FAMILY_STATUS_Married,133.01228135824203,83,0.929300216341725
501,PREV_DAYS_DECISION_MEAN,132.02159503102303,76,0.929300216341725
309,INSTAL_DAYS_ENTRY_PAYMENT_MAX,130.26137483119965,89,0.929300216341725
333,NAME_EDUCATION_TYPE_Higher education,127.0069465637207,40,0.929300216341725
2620,DIFF(PREV_NAME_CONTRACT_STATUS_Refused_MEAN),126.2387107014656,76,0.929300216341725
691,YEARS_BEGINEXPLUATATION_MEDI,125.80051717162132,63,0.929300216341725
2094,DIFF(ACTIVE_DAYS_CREDIT_MAX),123.30573520064354,76,0.929300216341725
306,INSTAL_AMT_PAYMENT_MIN,121.60122245550156,66,0.929300216341725
444,POS_MONTHS_BALANCE_MEAN,121.54499983787537,63,0.929300216341725
311,INSTAL_DAYS_ENTRY_PAYMENT_SUM,120.4398695230484,58,0.929300216341725
615,PREV_NAME_YIELD_GROUP_high_MEAN,119.96018505096436,56,0.929300216341725
2387,DIFF(INSTAL_DAYS_ENTRY_PAYMENT_MAX),117.92590668797493,74,0.929300216341725
2350,DIFF(DAYS_ID_PUBLISH),115.2238741479814,85,0.929300216341725
51,APPROVED_APP_CREDIT_PERC_MAX,114.01329779624939,59,0.929300216341725
81,BURO_CREDIT_ACTIVE_Closed_MEAN,112.14470928907394,35,0.929300216341725
2531,DIFF(POS_NAME_CONTRACT_STATUS_Signed_MEAN),111.60879391431808,71,0.929300216341725
37,APPROVED_AMT_ANNUITY_MEAN,111.00645563006401,62,0.929300216341725
58,APPROVED_DAYS_DECISION_MEAN,109.78512024879456,68,0.929300216341725
2133,DIFF(APPROVED_CNT_PAYMENT_MEAN),109.26421549916267,77,0.929300216341725
2255,DIFF(CC_CNT_DRAWINGS_CURRENT_VAR),109.10476565361023,49,0.929300216341725
319,INSTAL_PAYMENT_DIFF_MAX,108.51146432757378,75,0.929300216341725
70,BURO_AMT_CREDIT_SUM_DEBT_MEAN,107.74161487817764,43,0.929300216341725
301,INSTAL_AMT_INSTALMENT_MAX,105.6892648935318,54,0.929300216341725
314,INSTAL_DBD_SUM,104.38224047422409,67,0.929300216341725
287,FLAG_OWN_CAR,103.44223752617836,47,0.929300216341725
476,PREV_APP_CREDIT_PERC_MEAN,102.74798774719238,52,0.929300216341725
59,APPROVED_DAYS_DECISION_MIN,101.03437489271164,38,0.929300216341725
2566,DIFF(PREV_CNT_PAYMENT_MEAN),100.35849046707153,61,0.929300216341725
172,CC_CNT_DRAWINGS_ATM_CURRENT_SUM,100.16330230236053,55,0.929300216341725
2352,DIFF(DAYS_REGISTRATION),99.54681381583214,76,0.929300216341725
299,INCOME_CREDIT_PERC,97.7891157567501,60,0.929300216341725
274,DAYS_REGISTRATION,95.8518368601799,60,0.929300216341725
2397,DIFF(INSTAL_PAYMENT_DIFF_MAX),95.30451473593712,55,0.929300216341725
2337,DIFF(CLOSED_DAYS_CREDIT_MAX),94.61543095111847,56,0.929300216341725
