feature,gain
EXT_SOURCES_MEAN,415.4
PAYMENT_RATE,366.2
DAYS_BIRTH,240.2
EXT_SOURCE_1,239.0
AMT_ANNUITY,226.2
APPROVED_CNT_PAYMENT_MEAN,201.4
EXT_SOURCE_2,184.4
ANNUITY_INCOME_PERC,180.4
DAYS_ID_PUBLISH,144.8
CODE_GENDER,132.0
ACTIVE_DAYS_CREDIT_MAX,129.4
DAYS_EMPLOYED,122.2
PREV_CNT_PAYMENT_MEAN,118.8
EXT_SOURCE_3,115.0
AMT_GOODS_PRICE,109.6
DIFF(EXT_SOURCE_3),103.8
INSTAL_AMT_PAYMENT_MIN,97.4
INSTAL_AMT_PAYMENT_SUM,93.4
AMT_CREDIT,92.4
DIFF(EXT_SOURCE_2),87.6
DIFF(ANNUITY_INCOME_PERC),86.8
REGION_POPULATION_RELATIVE,83.8
DIFF(BURO_DAYS_CREDIT_VAR),81.8
BURO_DAYS_CREDIT_MAX,81.2
NAME_FAMILY_STATUS_Married,80.6
DIFF(ACTIVE_DAYS_CREDIT_UPDATE_MEAN),80.4
INCOME_CREDIT_PERC,79.2
DAYS_EMPLOYED_PERC,77.0
YEARS_BEGINEXPLUATATION_MEDI,76.0
DIFF(APPROVED_AMT_ANNUITY_MIN),75.4
DIFF(DAYS_REGISTRATION),74.4
POS_COUNT,73.4
INSTAL_DBD_SUM,71.8
DIFF(DAYS_BIRTH),71.6
INSTAL_DPD_MEAN,71.2
DIFF(ACTIVE_DAYS_CREDIT_MAX),69.4
INSTAL_DAYS_ENTRY_PAYMENT_SUM,69.0
DIFF(ACTIVE_DAYS_CREDIT_MEAN),69.0
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,67.6
DIFF(BURO_STATUS_X_MEAN_MEAN),67.2
POS_NAME_CONTRACT_STATUS_Active_MEAN,66.8
DIFF(APPROVED_CNT_PAYMENT_MEAN),66.4
DIFF(INCOME_PER_PERSON),65.0
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,64.8
APPROVED_AMT_DOWN_PAYMENT_MAX,64.6
DIFF(INCOME_CREDIT_PERC),63.4
DIFF(DAYS_ID_PUBLISH),63.2
CLOSED_DAYS_CREDIT_MAX,63.2
INSTAL_PAYMENT_DIFF_MAX,63.0
BURO_DAYS_CREDIT_MEAN,62.4
INSTAL_PAYMENT_PERC_MEAN,61.8
DAYS_REGISTRATION,61.2
DIFF(POS_NAME_CONTRACT_STATUS_Signed_MEAN),60.6
DIFF(PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN),60.6
DIFF(POS_COUNT),60.2
DAYS_LAST_PHONE_CHANGE,58.4
PREV_DAYS_DECISION_MEAN,58.2
INSTAL_DAYS_ENTRY_PAYMENT_MAX,58.0
DIFF(AMT_CREDIT),57.6
POS_MONTHS_BALANCE_MAX,57.2
DIFF(INSTAL_DAYS_ENTRY_PAYMENT_SUM),56.4
DIFF(DAYS_EMPLOYED),55.8
PREV_APP_CREDIT_PERC_MIN,55.2
AMT_INCOME_TOTAL,54.6
DIFF(REGION_POPULATION_RELATIVE),54.2
DIFF(DAYS_LAST_PHONE_CHANGE),53.8
DIFF(INSTAL_DBD_SUM),53.2
NAME_EDUCATION_TYPE_Higher education,52.8
DIFF(AMT_ANNUITY),52.8
DIFF(BURO_AMT_CREDIT_SUM_MAX),52.6
DIFF(PREV_NAME_YIELD_GROUP_low_action_MEAN),52.6
APPROVED_DAYS_DECISION_MEAN,52.6
DIFF(DAYS_EMPLOYED_PERC),52.6
PREV_APP_CREDIT_PERC_MEAN,52.4
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,52.4
DIFF(POS_SK_DPD_DEF_MEAN),51.8
PREV_NAME_YIELD_GROUP_high_MEAN,51.8
DIFF(INSTAL_AMT_PAYMENT_MIN),51.6
DIFF(BURO_AMT_CREDIT_SUM_MEAN),51.6
DIFF(CLOSED_DAYS_CREDIT_VAR),51.4
OWN_CAR_AGE,50.2
DIFF(LIVINGAREA_AVG),50.0
INSTAL_DBD_MAX,49.6
DIFF(EXT_SOURCE_1),49.6
DIFF(INSTAL_PAYMENT_DIFF_MAX),49.6
DIFF(POS_NAME_CONTRACT_STATUS_Active_MEAN),49.6
DIFF(CLOSED_DAYS_CREDIT_MAX),49.2
DIFF(APPROVED_DAYS_DECISION_MAX),49.2
BURO_CREDIT_ACTIVE_Closed_MEAN,49.0
DIFF(AMT_INCOME_TOTAL),48.8
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,48.8
APPROVED_AMT_ANNUITY_MIN,48.6
APPROVED_AMT_ANNUITY_MEAN,48.6
FLAG_DOCUMENT_3,48.0
INSTAL_AMT_PAYMENT_MEAN,48.0
DIFF(BURO_DAYS_CREDIT_ENDDATE_MIN),48.0
FLAG_OWN_CAR,47.6
DIFF(PREV_NAME_TYPE_SUITE_nan_MEAN),47.0
CUM_MEAN(TARGET),46.8
DIFF(ACTIVE_DAYS_CREDIT_ENDDATE_MIN),46.8
DIFF(PAYMENT_RATE),46.6
REFUSED_DAYS_DECISION_MAX,46.6
DIFF(PREV_APP_CREDIT_PERC_MIN),46.4
DIFF(BURO_STATUS_C_MEAN_MEAN),46.4
DIFF(INSTAL_DBD_MAX),46.0
DIFF(PREV_APP_CREDIT_PERC_VAR),46.0
INCOME_PER_PERSON,45.6
PREV_APP_CREDIT_PERC_VAR,45.6
DIFF(PREV_PRODUCT_COMBINATION_Cash X-Sell_ high_MEAN),45.6
INSTAL_DBD_MEAN,45.2
DIFF(BURO_DAYS_CREDIT_ENDDATE_MAX),44.8
