feature,gain
EXT_SOURCES_MEAN,627.8
PAYMENT_RATE,506.2
PERCENTILE(PAYMENT_RATE),416.2
DAYS_ID_PUBLISH,299.8
PERCENTILE(EXT_SOURCE_1),296.6
DAYS_BIRTH,295.4
PERCENTILE(DAYS_BIRTH),252.6
PERCENTILE(AMT_ANNUITY),227.4
INSTAL_DAYS_ENTRY_PAYMENT_MAX,226.2
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,219.2
PERCENTILE(APPROVED_CNT_PAYMENT_MEAN),217.6
PERCENTILE(DAYS_REGISTRATION),214.4
EXT_SOURCE_1,204.0
AMT_ANNUITY,186.4
EXT_SOURCE_2,183.0
EXT_SOURCE_3,183.0
PERCENTILE(EXT_SOURCE_3),173.8
PERCENTILE(EXT_SOURCE_2),170.0
INSTAL_DBD_SUM,169.6
PERCENTILE(INSTAL_DPD_MEAN),169.6
AMT_GOODS_PRICE,166.2
PERCENTILE(DAYS_LAST_PHONE_CHANGE),163.4
DIFF(ANNUITY_INCOME_PERC),160.2
APPROVED_CNT_PAYMENT_MEAN,153.2
PERCENTILE(ACTIVE_DAYS_CREDIT_MAX),144.6
APPROVED_CNT_PAYMENT_SUM,142.8
PERCENTILE(POS_COUNT),142.6
PREV_NAME_YIELD_GROUP_high_MEAN,140.4
DIFF(EXT_SOURCE_2),140.4
CLOSED_AMT_CREDIT_SUM_MEAN,140.4
INSTAL_AMT_PAYMENT_SUM,138.6
AMT_CREDIT,137.8
DIFF(DAYS_EMPLOYED),131.0
INSTAL_DPD_MEAN,128.8
CLOSED_DAYS_CREDIT_ENDDATE_MAX,128.4
INCOME_CREDIT_PERC,127.8
PERCENTILE(PREV_CNT_PAYMENT_MEAN),127.6
PERCENTILE(ANNUITY_INCOME_PERC),126.2
ANNUITY_INCOME_PERC,125.6
PERCENTILE(INSTAL_AMT_PAYMENT_SUM),125.0
PREV_APP_CREDIT_PERC_MIN,121.0
CODE_GENDER,118.6
ACTIVE_DAYS_CREDIT_MAX,117.8
PERCENTILE(ACTIVE_DAYS_CREDIT_ENDDATE_MAX),117.6
CUM_MEAN(TARGET),113.8
DAYS_EMPLOYED_PERC,113.2
DIFF(EXT_SOURCE_3),113.0
PREV_CNT_PAYMENT_MEAN,112.6
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,110.0
REGION_RATING_CLIENT_W_CITY,108.4
DIFF(APPROVED_AMT_ANNUITY_MIN),104.6
PERCENTILE(AMT_CREDIT),104.6
DIFF(INSTAL_DAYS_ENTRY_PAYMENT_SUM),104.4
NAME_FAMILY_STATUS_Married,103.0
PERCENTILE(DAYS_EMPLOYED_PERC),102.4
DIFF(CLOSED_DAYS_CREDIT_MAX),101.4
PERCENTILE(DAYS_EMPLOYED),101.0
CLOSED_DAYS_CREDIT_MAX,100.6
ACTIVE_AMT_CREDIT_SUM_MAX,100.4
PERCENTILE(PREV_NAME_CONTRACT_STATUS_Refused_MEAN),100.4
PREV_AMT_ANNUITY_MEAN,100.2
ACTIVE_DAYS_CREDIT_MEAN,99.4
DIFF(INSTAL_PAYMENT_PERC_MEAN),96.8
DAYS_EMPLOYED,96.2
DIFF(PREV_NAME_TYPE_SUITE_nan_MEAN),96.0
PERCENTILE(APPROVED_AMT_GOODS_PRICE_MIN),94.4
DIFF(ACTIVE_DAYS_CREDIT_MAX),94.4
PERCENTILE(BURO_DAYS_CREDIT_ENDDATE_MEAN),93.4
INSTAL_AMT_PAYMENT_MEAN,92.6
DIFF(ACTIVE_DAYS_CREDIT_MEAN),90.0
DIFF(PREV_AMT_DOWN_PAYMENT_MAX),88.0
BURO_DAYS_CREDIT_MIN,88.0
DIFF(POS_COUNT),87.6
DIFF(INSTAL_DAYS_ENTRY_PAYMENT_MAX),87.6
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,87.0
DIFF(INSTAL_DPD_MEAN),86.8
DIFF(PREV_HOUR_APPR_PROCESS_START_MEAN),86.8
BURO_AMT_CREDIT_SUM_MAX,86.4
PERCENTILE(CLOSED_DAYS_CREDIT_MAX),86.2
PERCENTILE(CODE_GENDER),86.0
CLOSED_DAYS_CREDIT_UPDATE_MEAN,85.8
PERCENTILE(AMT_INCOME_TOTAL),85.6
DIFF(APPROVED_DAYS_DECISION_MAX),84.8
DIFF(ACTIVE_AMT_CREDIT_SUM_DEBT_SUM),84.6
FLAG_OWN_CAR,84.2
DIFF(PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN),83.2
ACTIVE_AMT_CREDIT_SUM_SUM,83.0
DIFF(POS_SK_DPD_DEF_MEAN),83.0
PERCENTILE(INSTAL_DBD_MEAN),82.6
PERCENTILE(POS_NAME_CONTRACT_STATUS_Active_MEAN),82.4
DIFF(BURO_DAYS_CREDIT_MEAN),82.2
DIFF(PREV_NAME_YIELD_GROUP_low_action_MEAN),81.8
PERCENTILE(AMT_GOODS_PRICE),81.6
DIFF(PREV_CHANNEL_TYPE_Credit and cash offices_MEAN),81.4
BURO_CREDIT_TYPE_Mortgage_MEAN,80.8
PERCENTILE(INSTAL_DBD_MAX),80.6
INSTAL_PAYMENT_DIFF_SUM,79.6
DIFF(INSTAL_AMT_PAYMENT_MEAN),78.6
DIFF(BURO_AMT_CREDIT_MAX_OVERDUE_MEAN),78.6
